unicode,emoji,cldr,cldr_link,meaning,note,unicode_text
U+0031 U+FE0F U+20E3,1️⃣,keycap: 1,keycap-digit-one,The Keycap Digit One emoji is a keycap sequence combining 1️ Digit One and ⃣ Combining Enclosing Keycap.These display as a single emoji on supported platforms.,-,Keycap Digit One was approved as part of Unicode 3.0 in 1999 and added to Emoji 3.0 in 2016.
U+0032 U+FE0F U+20E3,2️⃣,keycap: 2,keycap-digit-two,The Keycap Digit Two emoji is a keycap sequence combining 2️ Digit Two and ⃣ Combining Enclosing Keycap.These display as a single emoji on supported platforms.,-,Keycap Digit Two was approved as part of Unicode 3.0 in 1999 and added to Emoji 3.0 in 2016.
U+0033 U+FE0F U+20E3,3️⃣,keycap: 3,keycap-digit-three,The Keycap Digit Three emoji is a keycap sequence combining 3️ Digit Three and ⃣ Combining Enclosing Keycap.These display as a single emoji on supported platforms.,-,Keycap Digit Three was approved as part of Unicode 3.0 in 1999 and added to Emoji 3.0 in 2016.
U+0034 U+FE0F U+20E3,4️⃣,keycap: 4,keycap-digit-four,The Keycap Digit Four emoji is a keycap sequence combining 4️ Digit Four and ⃣ Combining Enclosing Keycap.These display as a single emoji on supported platforms.,-,Keycap Digit Four was approved as part of Unicode 3.0 in 1999 and added to Emoji 3.0 in 2016.
U+0035 U+FE0F U+20E3,5️⃣,keycap: 5,keycap-digit-five,The Keycap Digit Five emoji is a keycap sequence combining 5️ Digit Five and ⃣ Combining Enclosing Keycap.These display as a single emoji on supported platforms.,-,Keycap Digit Five was approved as part of Unicode 3.0 in 1999 and added to Emoji 3.0 in 2016.
U+0036 U+FE0F U+20E3,6️⃣,keycap: 6,keycap-digit-six,The Keycap Digit Six emoji is a keycap sequence combining 6️ Digit Six and ⃣ Combining Enclosing Keycap.These display as a single emoji on supported platforms.,-,Keycap Digit Six was approved as part of Unicode 3.0 in 1999 and added to Emoji 3.0 in 2016.
U+0037 U+FE0F U+20E3,7️⃣,keycap: 7,keycap-digit-seven,The Keycap Digit Seven emoji is a keycap sequence combining 7️ Digit Seven and ⃣ Combining Enclosing Keycap.These display as a single emoji on supported platforms.,-,Keycap Digit Seven was approved as part of Unicode 3.0 in 1999 and added to Emoji 3.0 in 2016.
U+0038 U+FE0F U+20E3,8️⃣,keycap: 8,keycap-digit-eight,The Keycap Digit Eight emoji is a keycap sequence combining 8️ Digit Eight and ⃣ Combining Enclosing Keycap.These display as a single emoji on supported platforms.,-,Keycap Digit Eight was approved as part of Unicode 3.0 in 1999 and added to Emoji 3.0 in 2016.
U+0039 U+FE0F U+20E3,9️⃣,keycap: 9,keycap-digit-nine,The Keycap Digit Nine emoji is a keycap sequence combining 9️ Digit Nine and ⃣ Combining Enclosing Keycap.These display as a single emoji on supported platforms.,-,Keycap Digit Nine was approved as part of Unicode 3.0 in 1999 and added to Emoji 3.0 in 2016.
U+1F51F,🔟,keycap: 10,keycap-10,"The number 10 on a square with rounded corners, designed to look like a keycap.",-,Keycap: 10 was approved as part of Unicode 6.0 in 2010 under the name “Keycap Ten” and added to Emoji 1.0 in 2015.
U+1F520,🔠,input latin uppercase,input-latin-uppercase,"A symbol showing the capital letters A, B, C and D. Intended to be used on a software keyboard, or other input screen to toggle capital letter input.",-,Input Latin Uppercase was approved as part of Unicode 6.0 in 2010 under the name “Input Symbol for Latin Capital Letters” and added to Emoji 1.0 in 2015.
U+1F521,🔡,input latin lowercase,input-latin-lowercase,"A symbol showing the lowercase letters a, b, c and d. Intended to be used on a software keyboard, or other input screen to toggle lowercase letter input.",-,Input Latin Lowercase was approved as part of Unicode 6.0 in 2010 under the name “Input Symbol for Latin Small Letters” and added to Emoji 1.0 in 2015.
U+1F522,🔢,input numbers,input-numbers,"A symbol showing the numbers 1, 2, 3 and 4. Intended to be used on a software keyboard, or other input screen to enable symbol input, as opposed to alphabetical or symbol input.",-,Input Numbers was approved as part of Unicode 6.0 in 2010 under the name “Input Symbol for Numbers” and added to Emoji 1.0 in 2015.
U+1F523,🔣,input symbols,input-symbols,"A symbol showing the following glyphs: 〒 (Japanese postal mark), 𝅘𝅥𝅮 (music note), & (ampersand, or sometimes an @ symbol) and % (percentage sign). Intended to be used on a software keyboard, or other input screen to enable symbol input, as opposed to alphabetical or numeric input.",-,Input Symbols was approved as part of Unicode 6.0 in 2010 under the name “Input Symbol for Symbols” and added to Emoji 1.0 in 2015.
U+1F524,🔤,input latin letters,input-latin-letters,"A symbol showing the lowercase letters a, b, c and d. Intended to be used on a software keyboard, or other input screen to enable alphabetical input, as opposed to numeric or symbol input.",-,Input Latin Letters was approved as part of Unicode 6.0 in 2010 under the name “Input Symbol for Latin Letters” and added to Emoji 1.0 in 2015.
U+1F170,🅰,A button (blood type),a-button-blood-type,A symbol representing Blood Type A. Displayed as the letter A on a red background.,-,A Button (Blood Type) was approved as part of Unicode 6.0 in 2010 under the name “Negative Squared Latin Capital Letter A” and added to Emoji 1.0 in 2015.
U+1F18E,🆎,AB button (blood type),ab-button-blood-type,A symbol representing Blood Type AB. Displayed as the letters AB on a red background.,-,AB Button (Blood Type) was approved as part of Unicode 6.0 in 2010 under the name “Negative Squared AB” and added to Emoji 1.0 in 2015.
U+1F171,🅱,B button (blood type),b-button-blood-type,"A symbol representing Blood Type B. Displayed as the letter B on a red background. Sometimes used online to replace the letter C at the start of words in reference to the Bloods street gang's practice of turning words like cool into bool. This has expanded in some instances to starting any word with the letter B, or more specifically, this emoji which makes it more 🅱️lear that a letter has been replaced.",-,B Button (Blood Type) was approved as part of Unicode 6.0 in 2010 under the name “Negative Squared Latin Capital Letter B” and added to Emoji 1.0 in 2015.
U+1F191,🆑,CL button,cl-button,CL is what shows on the CLear button of some older mobile phones.,-,CL Button was approved as part of Unicode 6.0 in 2010 under the name “Squared CL” and added to Emoji 1.0 in 2015.
U+1F192,🆒,COOL button,cool-button,"The word cool, shown enclosed in a square. This generally displays in a shade of blue, or blue-gray on most platforms. Used as a text decoration.",-,Cool Button was approved as part of Unicode 6.0 in 2010 under the name “Squared Cool” and added to Emoji 1.0 in 2015.
U+1F193,🆓,FREE button,free-button,"The word free, shown enclosed in a square.",-,Free Button was approved as part of Unicode 6.0 in 2010 under the name “Squared Free” and added to Emoji 1.0 in 2015.
U+2139,ℹ,information,information,"A lowercase letter i, enclosed in a rounded square or circle. Implemented in apps or websites to indicate that help or further information is available. May be used as a logo for tourist information signage in a town or city.",-,Information was approved as part of Unicode 3.0 in 1999 under the name “Information Source” and added to Emoji 1.0 in 2015.
U+1F194,🆔,ID button,id-button,The letters ID in a square.,-,ID Button was approved as part of Unicode 6.0 in 2010 under the name “Squared ID” and added to Emoji 1.0 in 2015.
U+24C2,Ⓜ,circled M,circled-m,"The letter M in a circle, commonly used in to identify a Metro (subway, underground train) station in a city area.",-,Circled M was approved as part of Unicode 1.1 in 1993 under the name “Circled Latin Capital Letter M” and added to Emoji 1.0 in 2015.
U+1F195,🆕,NEW button,new-button,"The word new, shown enclosed in a square.",-,New Button was approved as part of Unicode 6.0 in 2010 under the name “Squared New” and added to Emoji 1.0 in 2015.
U+1F196,🆖,NG button,ng-button,"The letters NG, shown enclosed in a square, which are an acronym for the words No Good. The origin of NG refers to bloopers shown during or after the credits of a live television show in Japan (known as NGs), but can be used in any field as a form of shorthand for no good.",-,NG Button was approved as part of Unicode 6.0 in 2010 under the name “Squared NG” and added to Emoji 1.0 in 2015.
U+1F17E,🅾,O button (blood type),o-button-blood-type,A symbol representing Blood Type O. Displayed as the letter O on a red background.,-,O Button (Blood Type) was approved as part of Unicode 6.0 in 2010 under the name “Negative Squared Latin Capital Letter O” and added to Emoji 1.0 in 2015.
U+1F197,🆗,OK button,ok-button,"The letters OK, shown enclosed in a square. Meaning Okay, denoting approval. The opposite of the Squared NG Emoji.",-,OK Button was approved as part of Unicode 6.0 in 2010 under the name “Squared OK” and added to Emoji 1.0 in 2015.
U+1F17F,🅿,P button,p-button,"Depicted by major emoji vendors as blue square with a white letter 'P' contained within it. Most often to represent a parking space or parking lot. As of early 2022 this emoji has frequently been used as a positive response on social media - ""that's 🅿️"". This is due to an association with the song 'Pushing P' by American rapper Gunna.",-,P Button was approved as part of Unicode 5.2 in 2009 under the name “Negative Squared Latin Capital Letter P” and added to Emoji 1.0 in 2015.
U+1F198,🆘,SOS button,sos-button,"The word up with an exclamation point after it, shown enclosed in a square. Originally intended to denote leveling up in a game.",-,Up! Button was approved as part of Unicode 6.0 in 2010 under the name “Squared Up with Exclamation Mark” and added to Emoji 1.0 in 2015.
U+1F199,🆙,UP! button,up-button,SOS is the description for the distress signal in Morse Code. This emoji means SOS or “emergency”.,-,SOS Button was approved as part of Unicode 6.0 in 2010 under the name “Squared SOS” and added to Emoji 1.0 in 2015.
U+1F19A,🆚,VS button,vs-button,-,-,Vs Button was approved as part of Unicode 6.0 in 2010 under the name “Squared Vs” and added to Emoji 1.0 in 2015.
U+1F201,🈁,Japanese “here” button,japanese-here-button,"Means “Here” in Japanese, referring to a destination.",-,Japanese “Here” Button was approved as part of Unicode 6.0 in 2010 under the name “Squared Katakana Koko” and added to Emoji 1.0 in 2015.
U+1F202,🈂,Japanese “service charge” button,japanese-service-charge-button,"Translates as meaning complimentary, or free of charge. For example, a drink that is given ""on the house"" to a regular customer.",-,Japanese “Service Charge” Button was approved as part of Unicode 6.0 in 2010 under the name “Squared Katakana Sa” and added to Emoji 1.0 in 2015.
U+1F237,🈷,Japanese “monthly amount” button,japanese-monthly-amount-button,"CJK Ideographs are characters used in Chinese, Japanese and Korean languages. Their writing systems all completely or partly use Chinese characters. Means “moon” or “month” in Chinese.",-,Japanese “Monthly Amount” Button was approved as part of Unicode 6.0 in 2010 under the name “Squared CJK Unified Ideograph-6708” and added to Emoji 1.0 in 2015.
U+1F236,🈶,Japanese “not free of charge” button,japanese-not-free-of-charge-button,"This emoji means to own or posses. CJK Ideographs are characters used in Chinese, Japanese and Korean languages. Their writing systems all completely or partly use Chinese characters.",-,Japanese “Not Free of Charge” Button was approved as part of Unicode 6.0 in 2010 under the name “Squared CJK Unified Ideograph-6709” and added to Emoji 1.0 in 2015.
U+1F22F,🈯,Japanese “reserved” button,japanese-reserved-button,"This character translates as meaning a finger or toe pointing to indicate a certain direction. CJK Ideographs are characters used in Chinese, Japanese and Korean languages. Their writing systems all completely or partly use Chinese characters.",-,Japanese “Reserved” Button was approved as part of Unicode 5.2 in 2009 under the name “Squared CJK Unified Ideograph-6307” and added to Emoji 1.0 in 2015.
U+1F250,🉐,Japanese “bargain” button,japanese-bargain-button,"Symbol for a sale, or bargain prices in Japan (“cut prices”). Literally translated, this character means to cut or divide. CJK Ideographs are characters used in Chinese, Japanese and Korean languages. Their writing systems all completely or partly use Chinese characters.",-,Japanese “Discount” Button was approved as part of Unicode 6.0 in 2010 under the name “Squared CJK Unified Ideograph-5272” and added to Emoji 1.0 in 2015.
U+1F239,🈹,Japanese “discount” button,japanese-discount-button,Denotes a “good bargain” in Japanese.,-,Japanese “Bargain” Button was approved as part of Unicode 6.0 in 2010 under the name “Circled Ideograph Advantage” and added to Emoji 1.0 in 2015.
U+1F21A,🈚,Japanese “free of charge” button,japanese-free-of-charge-button,"This means to lack, or have none of something. CJK Ideographs are characters used in Chinese, Japanese and Korean languages. Their writing systems all completely or partly use Chinese characters.",-,Japanese “Free of Charge” Button was approved as part of Unicode 5.2 in 2009 under the name “Squared CJK Unified Ideograph-7121” and added to Emoji 1.0 in 2015.
U+1F232,🈲,Japanese “prohibited” button,japanese-prohibited-button,"This Emoji means “prohibit, restrict or forbid” in Japanese. CJK Ideographs are characters used in Chinese, Japanese and Korean languages. Their writing systems all completely or partly use Chinese characters.",-,Japanese “Prohibited” Button was approved as part of Unicode 6.0 in 2010 under the name “Squared CJK Unified Ideograph-7981” and added to Emoji 1.0 in 2015.
U+1F251,🉑,Japanese “acceptable” button,japanese-acceptable-button,-,-,Japanese “Acceptable” Button was approved as part of Unicode 6.0 in 2010 under the name “Circled Ideograph Accept” and added to Emoji 1.0 in 2015.
U+1F238,🈸,Japanese “application” button,japanese-application-button,"This Emoji has two meanings. One meaning is “request” in Japanese. An alternative meaning is “monkey” in the Chinese zodiac. It is commonly used in Japan to denote an application form or contact information for inquiries. CJK Ideographs are characters used in Chinese, Japanese and Korean languages. Their writing systems all completely or partly use Chinese characters.",-,Japanese “Application” Button was approved as part of Unicode 6.0 in 2010 under the name “Squared CJK Unified Ideograph-7533” and added to Emoji 1.0 in 2015.
U+1F234,🈴,Japanese “passing grade” button,japanese-passing-grade-button,"This 空 character means empty and available in Japanese. This is used in the context of an empty parking space or a vacant hotel room. CJK Ideographs are characters used in Chinese, Japanese and Korean languages. Their writing systems all completely or partly use Chinese characters.",-,Japanese “Vacancy” Button was approved as part of Unicode 6.0 in 2010 under the name “Squared CJK Unified Ideograph-7a7a” and added to Emoji 1.0 in 2015.
U+1F233,🈳,Japanese “vacancy” button,japanese-vacancy-button,"Means “agreement” in Japanese. More literally, it means to unite, or join together. CJK Ideographs are characters used in Chinese, Japanese and Korean languages. Their writing systems all completely or partly use Chinese characters.",-,Japanese “Passing Grade” Button was approved as part of Unicode 6.0 in 2010 under the name “Squared CJK Unified Ideograph-5408” and added to Emoji 1.0 in 2015.
U+3297,㊗,Japanese “congratulations” button,japanese-congratulations-button,"Translated from Japanese, this means ""congratulations"" or ""pray for happiness"".",-,Japanese “Congratulations” Button was approved as part of Unicode 1.1 in 1993 under the name “Circled Ideograph Congratulation” and added to Emoji 1.0 in 2015.
U+3299,㊙,Japanese “secret” button,japanese-secret-button,-,-,Japanese “Secret” Button was approved as part of Unicode 1.1 in 1993 under the name “Circled Ideograph Secret” and added to Emoji 1.0 in 2015.
U+1F23A,🈺,Japanese “open for business” button,japanese-open-for-business-button,"Means “work” in Japanese.  This Emoji used to mean “open for business” and precedes business hours. CJK Ideographs are characters used in Chinese, Japanese and Korean languages. Their writing systems all completely or partly use Chinese characters.",-,Japanese “Open for Business” Button was approved as part of Unicode 6.0 in 2010 under the name “Squared CJK Unified Ideograph-55b6” and added to Emoji 1.0 in 2015.
U+1F235,🈵,Japanese “no vacancy” button,japanese-no-vacancy-button,-,-,Red Circle was approved as part of Unicode 6.0 in 2010 under the name “Large Red Circle” and added to Emoji 1.0 in 2015.
U+1F534,🔴,red circle,large-red-circle,"This emoji means “full” in Japanese, usually used to denote “full capacity” such as a gas/petrol tank on a car or pre-paid phone card. CJK Ideographs are characters used in Chinese, Japanese and Korean languages. Their writing systems all completely or partly use Chinese characters.",-,Japanese “No Vacancy” Button was approved as part of Unicode 6.0 in 2010 under the name “Squared CJK Unified Ideograph-6e80” and added to Emoji 1.0 in 2015.
U+1F7E0,🟠,orange circle,large-orange-circle,-,-,Yellow Circle was approved as part of Unicode 12.0 in 2019 under the name “Large Yellow Circle” and added to Emoji 12.0 in 2019.
U+1F7E1,🟡,yellow circle,large-yellow-circle,-,-,Orange Circle was approved as part of Unicode 12.0 in 2019 under the name “Large Orange Circle” and added to Emoji 12.0 in 2019.
U+1F7E2,🟢,green circle,large-green-circle,-,-,Green Circle was approved as part of Unicode 12.0 in 2019 under the name “Large Green Circle” and added to Emoji 12.0 in 2019.
U+1F535,🔵,blue circle,large-blue-circle,-,-,Purple Circle was approved as part of Unicode 12.0 in 2019 under the name “Large Purple Circle” and added to Emoji 12.0 in 2019.
U+1F7E3,🟣,purple circle,large-purple-circle,-,-,Blue Circle was approved as part of Unicode 6.0 in 2010 under the name “Large Blue Circle” and added to Emoji 1.0 in 2015.
U+1F7E4,🟤,brown circle,large-brown-circle,-,-,Brown Circle was approved as part of Unicode 12.0 in 2019 under the name “Large Brown Circle” and added to Emoji 12.0 in 2019.
U+26AB,⚫,black circle,black-circle,-,-,Black Circle was approved as part of Unicode 4.1 in 2005 under the name “Medium Black Circle” and added to Emoji 1.0 in 2015.
U+26AA,⚪,white circle,white-circle,-,-,White Circle was approved as part of Unicode 4.1 in 2005 under the name “Medium White Circle” and added to Emoji 1.0 in 2015.
U+1F7E5,🟥,red square,red-square,"A square shown in the color red. May be used to represent anything red, including a red penalty card in football (soccer).",-,Red Square was approved as part of Unicode 12.0 in 2019 under the name “Large Red Square” and added to Emoji 12.0 in 2019.
U+1F7E7,🟧,orange square,orange-square,"A square shown in the color yellow. May be used to represent anything yellow, including a yellow penalty card in football (soccer).",-,Yellow Square was approved as part of Unicode 12.0 in 2019 under the name “Large Yellow Square” and added to Emoji 12.0 in 2019.
U+1F7E8,🟨,yellow square,yellow-square,A square shown in the color of orange. May be used to represent anything orange.,-,Orange Square was approved as part of Unicode 12.0 in 2019 under the name “Large Orange Square” and added to Emoji 12.0 in 2019.
U+1F7E9,🟩,green square,green-square,"A square shown in the color of green. May be used to represent anything green. May 2021: Sometimes shown in Twitter names in support of Taproot, a Bitcoin fork (potential feature change) that would allow additional privacy measures for transactions.",-,Green Square was approved as part of Unicode 12.0 in 2019 under the name “Large Green Square” and added to Emoji 12.0 in 2019.
U+1F7E6,🟦,blue square,blue-square,A square shown in the color of purple. May be used to represent anything purple.,-,Purple Square was approved as part of Unicode 12.0 in 2019 under the name “Large Purple Square” and added to Emoji 12.0 in 2019.
U+1F7EA,🟪,purple square,purple-square,A square shown in the shade of black. May be used to represent anything black.,-,Black Large Square was approved as part of Unicode 5.1 in 2008 and added to Emoji 1.0 in 2015.
U+1F7EB,🟫,brown square,brown-square,A square shown in the shade of white. May be used to represent anything white.,-,White Large Square was approved as part of Unicode 5.1 in 2008 and added to Emoji 1.0 in 2015.
U+2B1B,⬛,black large square,black-large-square,A square shown in the color of brown. May be used to represent anything brown.,-,Brown Square was approved as part of Unicode 12.0 in 2019 under the name “Large Brown Square” and added to Emoji 12.0 in 2019.
U+2B1C,⬜,white large square,white-large-square,A square shown in the color of blue. May be used to represent anything blue.,-,Blue Square was approved as part of Unicode 12.0 in 2019 under the name “Large Blue Square” and added to Emoji 12.0 in 2019.
U+25FC,◼,black medium square,black-medium-square,-,-,Black Medium Square was approved as part of Unicode 3.2 in 2002 and added to Emoji 1.0 in 2015.
U+25FB,◻,white medium square,white-medium-square,-,-,White Medium Square was approved as part of Unicode 3.2 in 2002 and added to Emoji 1.0 in 2015.
U+25FE,◾,black medium-small square,black-medium-small-square,-,-,Black Medium-Small Square was approved as part of Unicode 3.2 in 2002 under the name “Black Medium Small Square” and added to Emoji 1.0 in 2015.
U+25FD,◽,white medium-small square,white-medium-small-square,-,-,White Medium-Small Square was approved as part of Unicode 3.2 in 2002 under the name “White Medium Small Square” and added to Emoji 1.0 in 2015.
U+25AA,▪,black small square,black-small-square,-,-,Black Small Square was approved as part of Unicode 1.1 in 1993 and added to Emoji 1.0 in 2015.
U+25AB,▫,white small square,white-small-square,-,-,White Small Square was approved as part of Unicode 1.1 in 1993 and added to Emoji 1.0 in 2015.
U+1F536,🔶,large orange diamond,large-orange-diamond,A larger version of the small orange diamond emoji.,-,Large Orange Diamond was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.
U+1F537,🔷,large blue diamond,large-blue-diamond,-,-,Large Blue Diamond was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.
U+1F538,🔸,small orange diamond,small-orange-diamond,A small version of the large orange diamond emoji.,-,Small Orange Diamond was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.
U+1F539,🔹,small blue diamond,small-blue-diamond,-,-,Small Blue Diamond was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.
U+1F53A,🔺,red triangle pointed up,red-triangle-pointed-up,-,-,Red Triangle Pointed Up was approved as part of Unicode 6.0 in 2010 under the name “Up-Pointing Red Triangle” and added to Emoji 1.0 in 2015.
U+1F53B,🔻,red triangle pointed down,red-triangle-pointed-down,-,-,Red Triangle Pointed Down was approved as part of Unicode 6.0 in 2010 under the name “Down-Pointing Red Triangle” and added to Emoji 1.0 in 2015.
U+1F4A0,💠,diamond with a dot,diamond-with-a-dot,"A glyph that is used for kawaii in Japan, resembling the shape of a flower. Google's design previously resembled a flower, while Samsung's previously displayed a white symbol on a blue square.",-,Diamond with a Dot was approved as part of Unicode 6.0 in 2010 under the name “Diamond Shape with a Dot Inside” and added to Emoji 1.0 in 2015.
U+1F518,🔘,radio button,radio-button,"A radio button user interface element, used in form fields with two or more choices. Differs from a checkbox, in that only one response can be selected. This emoji generally shows the on/enabled state for the radio button, with a smaller circle inside a larger outer circle.",-,Radio Button was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.
U+1F533,🔳,white square button,white-square-button,White Square Button.,-,White Square Button was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.
U+1F532,🔲,black square button,black-square-button,"A flag with black and white squares shown in a checkerboard pattern, used to signal the start or end of a motor car race.",-,Chequered Flag was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.
U+1F3C1,🏁,chequered flag,chequered-flag,-,-,Black Square Button was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.
U+1F6A9,🚩,triangular flag,triangular-flag,"A triangular red flag on a post. Most commonly associated with golf, as shown in the flag in hole emoji. Can also be used to represent the term red flag, signaling a problem or issue.",-,Triangular Flag was approved as part of Unicode 6.0 in 2010 under the name “Triangular Flag on Post” and added to Emoji 1.0 in 2015.
U+1F38C,🎌,crossed flags,crossed-flags,-,-,Black Flag was approved as part of Unicode 7.0 in 2014 under the name “Waving Black Flag” and added to Emoji 1.0 in 2015.
U+1F3F4,🏴,black flag,black-flag,"Two Japanese Flags, crossed at the base. Except on some Samsung devices, which have previously displayed two South Korean flags.",-,Crossed Flags was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.
U+1F3F3,🏳,white flag,white-flag,"A white flag, shown waving on a post. Traditionally used as a sign of surrender, the meaning of this flag as an emoji is less defined.",-,White Flag was approved as part of Unicode 7.0 in 2014 under the name “Waving White Flag” and added to Emoji 1.0 in 2015.
U+1F3F3 U+FE0F U+200D U+1F308,🏳️‍🌈,rainbow flag,rainbow-flag,"A flag with six colors of the rainbow, generally including red, orange, yellow, green, blue and purple. Commonly used by the LGBT movement as a gay pride flag, or simply pride flag and seen at Pride events. In February 2019 misinformation was spread about a so-called ""anti-lgbt emoji"" which can be created using a combining character to show a black and white glyph like 🚫 on top of the rainbow flag. This is possible with any emoji on supported platforms, in the same way keycaps are combining characters.","The Rainbow Flag emoji is a ZWJ sequence combining 🏳️ White Flag, ‍ Zero Width Joiner and 🌈 Rainbow.These display as a single emoji on supported platforms.",Rainbow Flag was added to Emoji 4.0 in 2016.
U+1F3F3 U+FE0F U+200D U+26A7 U+FE0F,🏳️‍⚧️,transgender flag,transgender-flag,"A flag with horizontal pale blue and pale pink stripes with a single white stripe in the middle, used as a Transgender or Transgender Pride flag and commonly seen at Pride events.","The Transgender Flag emoji is a ZWJ sequence combining 🏳️ White Flag, ‍ Zero Width Joiner and ⚧️ Transgender Symbol.These display as a single emoji on supported platforms.",Transgender Flag was added to Emoji 13.0 in 2020.
U+1F3F4 U+200D U+2620 U+FE0F,🏴‍☠️,pirate flag,pirate-flag,"The flag for Ascension Island, which may show as the letters AC on some platforms. Apple devices show the St. Helena flag for both Ascension Island and Tristan Da Cunha. The Flag: Ascension Island emoji is a flag sequence combining 🇦 Regional Indicator Symbol Letter A and 🇨 Regional Indicator Symbol Letter C.These display as a single emoji on supported platforms.",-,Flag: Ascension Island was added to Emoji 1.0 in 2015.
U+1F1E6 U+1F1E8,🇦🇨,flag: Ascension Island,flag-ascension-island,"The flag for Andorra, which may show as the letters AD on some platforms. The Flag: Andorra emoji is a flag sequence combining 🇦 Regional Indicator Symbol Letter A and 🇩 Regional Indicator Symbol Letter D.These display as a single emoji on supported platforms.",-,Flag: Andorra was added to Emoji 1.0 in 2015.
U+1F1E6 U+1F1E9,🇦🇩,flag: Andorra,flag-andorra,"A skull and crossbones displayed on a black flag, used on pirate ships, also known as a Jolly Roger.","The Pirate Flag emoji is a ZWJ sequence combining 🏴 Black Flag, ‍ Zero Width Joiner and ☠️ Skull and Crossbones.These display as a single emoji on supported platforms.",Pirate Flag was added to Emoji 11.0 in 2018.
U+1F1E6 U+1F1EA,🇦🇪,flag: United Arab Emirates,flag-united-arab-emirates,"The flag for United Arab Emirates, which may show as the letters AE on some platforms. The Flag: United Arab Emirates emoji is a flag sequence combining 🇦 Regional Indicator Symbol Letter A and 🇪 Regional Indicator Symbol Letter E.These display as a single emoji on supported platforms.",-,Flag: United Arab Emirates was added to Emoji 1.0 in 2015.
U+1F1E6 U+1F1EB,🇦🇫,flag: Afghanistan,flag-afghanistan,"The flag for Afghanistan, which may show as the letters AF on some platforms. As of August 2021 this displays as the Black, Red and Green flag of the Islamic Republic of Afghanistan. This may in future show the flag of the Taliban to represent the Islamic Emirate of Afghanistan. The Flag: Afghanistan emoji is a flag sequence combining 🇦 Regional Indicator Symbol Letter A and 🇫 Regional Indicator Symbol Letter F.These display as a single emoji on supported platforms.", 🚩 Note: design may change in future. Use with caution.,Flag: Afghanistan was added to Emoji 1.0 in 2015.
U+1F1E6 U+1F1EC,🇦🇬,flag: Antigua & Barbuda,flag-antigua-barbuda,The Flag: Antigua & Barbuda emoji is a flag sequence combining 🇦 Regional Indicator Symbol Letter A and 🇬 Regional Indicator Symbol Letter G.These display as a single emoji on supported platforms.,-,Flag: Antigua & Barbuda was added to Emoji 1.0 in 2015.
U+1F1E6 U+1F1EE,🇦🇮,flag: Anguilla,flag-anguilla,"The flag for Anguilla, which may show as the letters AI on some platforms. The Flag: Anguilla emoji is a flag sequence combining 🇦 Regional Indicator Symbol Letter A and 🇮 Regional Indicator Symbol Letter I.These display as a single emoji on supported platforms.",-,Flag: Anguilla was added to Emoji 1.0 in 2015.
U+1F1E6 U+1F1F1,🇦🇱,flag: Albania,flag-albania,"The flag for Albania, which may show as the letters AL on some platforms. The Flag: Albania emoji is a flag sequence combining 🇦 Regional Indicator Symbol Letter A and 🇱 Regional Indicator Symbol Letter L.These display as a single emoji on supported platforms.",-,Flag: Albania was added to Emoji 1.0 in 2015.
U+1F1E6 U+1F1F2,🇦🇲,flag: Armenia,flag-armenia,"The flag for Armenia, which may show as the letters AM on some platforms. The Flag: Armenia emoji is a flag sequence combining 🇦 Regional Indicator Symbol Letter A and 🇲 Regional Indicator Symbol Letter M.These display as a single emoji on supported platforms.",-,Flag: Armenia was added to Emoji 1.0 in 2015.
U+1F1E6 U+1F1F4,🇦🇴,flag: Angola,flag-angola,"The flag for Antarctica, which may show as the letters AQ on some platforms. The Flag: Antarctica emoji is a flag sequence combining 🇦 Regional Indicator Symbol Letter A and 🇶 Regional Indicator Symbol Letter Q.These display as a single emoji on supported platforms.",-,Flag: Antarctica was added to Emoji 1.0 in 2015.
U+1F1E6 U+1F1F6,🇦🇶,flag: Antarctica,flag-antarctica,"The flag for Angola, which may show as the letters A and O on some platforms. The Flag: Angola emoji is a flag sequence combining 🇦 Regional Indicator Symbol Letter A and 🇴 Regional Indicator Symbol Letter O.These display as a single emoji on supported platforms.",-,Flag: Angola was added to Emoji 1.0 in 2015.
U+1F1E6 U+1F1F7,🇦🇷,flag: Argentina,flag-argentina,"The flag for American Samoa, which may show as the letters AS on some platforms. The Flag: American Samoa emoji is a flag sequence combining 🇦 Regional Indicator Symbol Letter A and 🇸 Regional Indicator Symbol Letter S.These display as a single emoji on supported platforms.",-,Flag: American Samoa was added to Emoji 1.0 in 2015.
U+1F1E6 U+1F1F8,🇦🇸,flag: American Samoa,flag-american-samoa,"The flag for Australia, which may show as the letters AU on some platforms. The Flag: Australia emoji is a flag sequence combining 🇦 Regional Indicator Symbol Letter A and 🇺 Regional Indicator Symbol Letter U.These display as a single emoji on supported platforms.",-,Flag: Australia was added to Emoji 1.0 in 2015.
